name,parent,type,size
ex1.py,.,file,55
main.py,.,file,56
path_to_CSV.csv,.,file,64
path_to_JSON.json,.,file,66
rext_json.txt,.,file,62
task3_3.py,.,file,59
task4.py,.,file,57
task_2.py,.,file,58
text.txt,.,file,57
users.csv,.,file,58
users.json,.,file,59
usersnew.json,.,file,62
usersnew.pickle,.,file,64
.,relative path,dir,125013
.gitignore,.idea,file,59
discord.xml,.idea,file,60
encodings.xml,.idea,file,62
misc.xml,.idea,file,57
modules.xml,.idea,file,60
Python.iml,.idea,file,59
vcs.xml,.idea,file,56
workspace.xml,.idea,file,62
.idea,.,dir,5842
profiles_settings.xml,inspectionProfiles,file,70
inspectionProfiles,.idea,dir,174
.gitignore,venv,file,59
pyvenv.cfg,venv,file,59
venv,.,dir,452
Lib,venv,dir,0
distutils-precedence.pth,site-packages,file,73
pip-22.3.1.virtualenv,site-packages,file,70
setuptools-65.5.1.virtualenv,site-packages,file,77
wheel-0.38.4.virtualenv,site-packages,file,72
_virtualenv.pth,site-packages,file,64
_virtualenv.py,site-packages,file,63
site-packages,Lib,dir,5939
py.typed,pip,file,57
__init__.py,pip,file,60
__main__.py,pip,file,60
__pip-runner__.py,pip,file,66
pip,site-packages,dir,3285
build_env.py,_internal,file,61
cache.py,_internal,file,57
configuration.py,_internal,file,65
exceptions.py,_internal,file,62
main.py,_internal,file,56
pyproject.py,_internal,file,61
self_outdated_check.py,_internal,file,71
wheel_builder.py,_internal,file,65
__init__.py,_internal,file,60
_internal,pip,dir,84525
autocompletion.py,cli,file,66
base_command.py,cli,file,64
cmdoptions.py,cli,file,62
command_context.py,cli,file,67
main.py,cli,file,56
main_parser.py,cli,file,63
parser.py,cli,file,58
progress_bars.py,cli,file,65
req_command.py,cli,file,63
spinners.py,cli,file,60
status_codes.py,cli,file,64
__init__.py,cli,file,60
cli,_internal,dir,87806
cache.py,commands,file,57
check.py,commands,file,57
completion.py,commands,file,62
configuration.py,commands,file,65
debug.py,commands,file,57
download.py,commands,file,60
freeze.py,commands,file,58
hash.py,commands,file,56
help.py,commands,file,56
index.py,commands,file,57
inspect.py,commands,file,59
install.py,commands,file,59
list.py,commands,file,56
search.py,commands,file,58
show.py,commands,file,56
uninstall.py,commands,file,61
wheel.py,commands,file,57
__init__.py,commands,file,60
commands,_internal,dir,119848
base.py,distributions,file,56
installed.py,distributions,file,61
sdist.py,distributions,file,57
wheel.py,distributions,file,57
__init__.py,distributions,file,60
distributions,_internal,dir,10466
collector.py,index,file,61
package_finder.py,index,file,66
sources.py,index,file,59
__init__.py,index,file,60
index,_internal,dir,60686
